name,distance_in_degree,tmax,smoothing_length,freqmin,freqmax,Qc_after_tmax,Qc_length,td
145we_ISSI_atten_linear50_2,4.0,475.1,444.60,0.40,0.50,300,1500,293.6
145we_ISSI_atten_linear50_2,8.0,521.0,444.60,0.40,0.50,300,1500,408.6
145we_ISSI_atten_linear50_2,12.0,523.5,444.60,0.40,0.50,300,1500,685.1
145we_ISSI_atten_linear50_2,16.0,557.5,444.60,0.40,0.50,300,1500,311.4
145we_ISSI_atten_linear50_2,20.0,599.4,444.60,0.40,0.50,300,1500,759.5
145we_ISSI_atten_linear50_2,24.0,675.4,444.60,0.40,0.50,300,1500,618.4
145we_ISSI_atten_linear50_2,28.0,654.7,444.60,0.40,0.50,300,1500,629.3
145we_ISSI_atten_linear50_2,32.0,728.3,444.60,0.40,0.50,300,1500,535.0
145we_ISSI_atten_linear50_2,36.0,703.6,444.60,0.40,0.50,300,1500,1052.9
145we_ISSI_atten_linear50_2,40.0,770.7,444.60,0.40,0.50,300,1500,672.0
145we_ISSI_atten_linear50_2,44.0,655.2,444.60,0.40,0.50,300,1500,318.0
145we_ISSI_atten_linear50_2,48.0,667.3,444.60,0.40,0.50,300,1500,386.8
145we_ISSI_atten_linear50_2,52.0,867.2,444.60,0.40,0.50,300,1500,981.7
145we_ISSI_atten_linear50_2,56.0,763.5,444.60,0.40,0.50,300,1500,339.8
145we_ISSI_atten_linear50_2,60.0,687.3,444.60,0.40,0.50,300,1500,390.8
