name,distance_in_degree,tmax,smoothing_length,freqmin,freqmax,Qc_after_tmax,Qc_length,td
A14/LM,2.167,482.3,300.10,0.25,0.75,200,800,560.0
A12/LM,2.425,594.8,300.10,0.25,0.75,200,800,530.0
A15/LM,3.04,816.9,300.10,0.25,0.75,200,800,684.3
A14/LM,3.804,649.8,300.10,0.25,0.75,200,800,660.8
A13/S-IVB,4.481,390.9,300.10,0.25,0.75,200,800,1233.5
A16/S-IVB,5.075,681.3,300.10,0.25,0.75,200,800,1031.1
No observations found at this distance
A14/S-IVB,5.784,618.9,300.10,0.25,0.75,200,800,682.1
A15/S-IVB,6.119,487.5,300.10,0.25,0.75,200,800,874.3
No observations found at this distance
A17/S-IVB,11.132,790.3,300.10,0.25,0.75,200,800,1177.4
A15/S-IVB,11.719,720.5,300.10,0.25,0.75,200,800,1341.0
A17/LM,25.432,1037.7,300.10,0.25,0.75,200,800,1991.8
A17/S-IVB,28.047,849.0,300.10,0.25,0.75,200,800,1109.4
A17/LM,32.487,1088.3,300.10,0.25,0.75,200,800,15921.5
A17/S-IVB,34.018,808.6,300.10,0.25,0.75,200,800,2348.8
A15/LM,34.561,890.6,300.10,0.25,0.75,200,800,508.3
A16/S-IVB,36.377,932.2,300.10,0.25,0.75,200,800,1585.2
A15/LM,37.235,1091.0,300.10,0.25,0.75,200,800,1497.5
No observations found at this distance
A17/LM,57.671,1435.9,300.10,0.25,0.75,200,800,1134.4
