name,distance_in_degree,tmax,smoothing_length,freqmin,freqmax,Qc_after_tmax,Qc_length,td
A13/S-IVB,4.481,552.4,444.50,0.40,0.50,300,1500,1228.8
A14/S-IVB,5.784,795.3,444.50,0.40,0.50,300,1500,761.6
A15/S-IVB,6.119,544.7,444.50,0.40,0.50,300,1500,837.1
A15/S-IVB,11.719,955.8,444.50,0.40,0.50,300,1500,1020.0
A16/S-IVB,5.075,928.0,444.50,0.40,0.50,300,1500,819.3
No observations found at this distance
A16/S-IVB,36.377,1133.0,444.50,0.40,0.50,300,1500,1895.6
No observations found at this distance
A17/S-IVB,11.132,923.0,444.50,0.40,0.50,300,1500,1038.3
A17/S-IVB,28.047,959.1,444.50,0.40,0.50,300,1500,1062.6
A17/S-IVB,34.018,1420.1,444.50,0.40,0.50,300,1500,1493.5
